1fc00198:   3c 08 c9 6a         LUI $t0, 0xc96a
1fc0019c:   35 08 c0 d3         ORI $t0, $t0, 0xc0d3
1fc001a0:   34 09 a8 4a         ORI $t1, $zero, 0xa84a
1fc001a4:   21 10 a8 4a         ADDI $s0, $t0, 0xa84a
1fc001a8:   3c 12 c9 6a         LUI $s2, 0xc96a
1fc001ac:   36 52 69 1d         ORI $s2, $s2, 0x691d
1fc001b0:   16 12 08 9c         BNE $s2, 0x089c
1fc001b4:   00 00 00 00         NOP
1fc001b8:   3c 08 e9 b6         LUI $t0, 0xe9b6
1fc001bc:   35 08 85 70         ORI $t0, $t0, 0x8570
1fc001c0:   24 09 62 58         ADDIU $t1, $zero, 0x6258
1fc001c4:   21 10 62 58         ADDI $s0, $t0, 0x6258
1fc001c8:   3c 12 e9 b6         LUI $s2, 0xe9b6
1fc001cc:   36 52 e7 c8         ORI $s2, $s2, 0xe7c8
1fc001d0:   16 12 08 94         BNE $s2, 0x0894
1fc001d4:   00 00 00 00         NOP
1fc001d8:   3c 08 3d 8c         LUI $t0, 0x3d8c
1fc001dc:   35 08 44 00         ORI $t0, $t0, 0x4400
1fc001e0:   34 09 c3 cd         ORI $t1, $zero, 0xc3cd
1fc001e4:   21 10 c3 cd         ADDI $s0, $t0, 0xc3cd
1fc001e8:   3c 12 3d 8c         LUI $s2, 0x3d8c
1fc001ec:   36 52 07 cd         ORI $s2, $s2, 0x07cd
1fc001f0:   16 12 08 8c         BNE $s2, 0x088c
1fc001f4:   00 00 00 00         NOP
1fc001f8:   3c 08 67 a7         LUI $t0, 0x67a7
1fc001fc:   35 08 1a 80         ORI $t0, $t0, 0x1a80
1fc00200:   24 09 58 86         ADDIU $t1, $zero, 0x5886
1fc00204:   21 10 58 86         ADDI $s0, $t0, 0x5886
1fc00208:   3c 12 67 a7         LUI $s2, 0x67a7
1fc0020c:   36 52 73 06         ORI $s2, $s2, 0x7306
1fc00210:   16 12 08 84         BNE $s2, 0x0884
1fc00214:   00 00 00 00         NOP
1fc00218:   3c 08 c4 a3         LUI $t0, 0xc4a3
1fc0021c:   35 08 a5 94         ORI $t0, $t0, 0xa594
1fc00220:   34 09 8f 95         ORI $t1, $zero, 0x8f95
1fc00224:   21 10 8f 95         ADDI $s0, $t0, 0x8f95
1fc00228:   3c 12 c4 a3         LUI $s2, 0xc4a3
1fc0022c:   36 52 35 29         ORI $s2, $s2, 0x3529
1fc00230:   16 12 08 7c         BNE $s2, 0x087c
1fc00234:   00 00 00 00         NOP
1fc00238:   3c 08 5a 7c         LUI $t0, 0x5a7c
1fc0023c:   35 08 73 74         ORI $t0, $t0, 0x7374
1fc00240:   34 09 96 1d         ORI $t1, $zero, 0x961d
1fc00244:   21 10 96 1d         ADDI $s0, $t0, 0x961d
1fc00248:   3c 12 5a 7c         LUI $s2, 0x5a7c
1fc0024c:   36 52 09 91         ORI $s2, $s2, 0x0991
1fc00250:   16 12 08 74         BNE $s2, 0x0874
1fc00254:   00 00 00 00         NOP
1fc00258:   3c 08 5a ab         LUI $t0, 0x5aab
1fc0025c:   35 08 69 9a         ORI $t0, $t0, 0x699a
1fc00260:   34 09 c6 c4         ORI $t1, $zero, 0xc6c4
1fc00264:   21 10 c6 c4         ADDI $s0, $t0, 0xc6c4
1fc00268:   3c 12 5a ab         LUI $s2, 0x5aab
1fc0026c:   36 52 30 5e         ORI $s2, $s2, 0x305e
1fc00270:   16 12 08 6c         BNE $s2, 0x086c
1fc00274:   00 00 00 00         NOP
1fc00278:   3c 08 1f f4         LUI $t0, 0x1ff4
1fc0027c:   35 08 33 0c         ORI $t0, $t0, 0x330c
1fc00280:   34 09 e5 34         ORI $t1, $zero, 0xe534
1fc00284:   21 10 e5 34         ADDI $s0, $t0, 0xe534
1fc00288:   3c 12 1f f4         LUI $s2, 0x1ff4
1fc0028c:   36 52 18 40         ORI $s2, $s2, 0x1840
1fc00290:   16 12 08 64         BNE $s2, 0x0864
1fc00294:   00 00 00 00         NOP
1fc00298:   3c 08 08 2b         LUI $t0, 0x082b
1fc0029c:   35 08 cd 60         ORI $t0, $t0, 0xcd60
1fc002a0:   24 09 2b 78         ADDIU $t1, $zero, 0x2b78
1fc002a4:   21 10 2b 78         ADDI $s0, $t0, 0x2b78
1fc002a8:   3c 12 08 2b         LUI $s2, 0x082b
1fc002ac:   36 52 f8 d8         ORI $s2, $s2, 0xf8d8
1fc002b0:   16 12 08 5c         BNE $s2, 0x085c
1fc002b4:   00 00 00 00         NOP
1fc002b8:   3c 08 9c 9e         LUI $t0, 0x9c9e
1fc002bc:   35 08 12 20         ORI $t0, $t0, 0x1220
1fc002c0:   34 09 ce 5e         ORI $t1, $zero, 0xce5e
1fc002c4:   21 10 ce 5e         ADDI $s0, $t0, 0xce5e
1fc002c8:   3c 12 9c 9d         LUI $s2, 0x9c9d
1fc002cc:   36 52 e0 7e         ORI $s2, $s2, 0xe07e
1fc002d0:   16 12 08 54         BNE $s2, 0x0854
1fc002d4:   00 00 00 00         NOP
1fc002d8:   3c 08 31 51         LUI $t0, 0x3151
1fc002dc:   35 08 da 50         ORI $t0, $t0, 0xda50
1fc002e0:   34 09 a1 40         ORI $t1, $zero, 0xa140
1fc002e4:   21 10 a1 40         ADDI $s0, $t0, 0xa140
1fc002e8:   3c 12 31 51         LUI $s2, 0x3151
1fc002ec:   36 52 7b 90         ORI $s2, $s2, 0x7b90
1fc002f0:   16 12 08 4c         BNE $s2, 0x084c
1fc002f4:   00 00 00 00         NOP
1fc002f8:   3c 08 f3 c5         LUI $t0, 0xf3c5
1fc002fc:   35 08 a8 70         ORI $t0, $t0, 0xa870
1fc00300:   24 09 40 40         ADDIU $t1, $zero, 0x4040
1fc00304:   21 10 40 40         ADDI $s0, $t0, 0x4040
1fc00308:   3c 12 f3 c5         LUI $s2, 0xf3c5
1fc0030c:   36 52 e8 b0         ORI $s2, $s2, 0xe8b0
1fc00310:   16 12 08 44         BNE $s2, 0x0844
1fc00314:   00 00 00 00         NOP
1fc00318:   3c 08 73 bb         LUI $t0, 0x73bb
1fc0031c:   35 08 0f ee         ORI $t0, $t0, 0x0fee
1fc00320:   24 09 35 a0         ADDIU $t1, $zero, 0x35a0
1fc00324:   21 10 35 a0         ADDI $s0, $t0, 0x35a0
1fc00328:   3c 12 73 bb         LUI $s2, 0x73bb
1fc0032c:   36 52 45 8e         ORI $s2, $s2, 0x458e
1fc00330:   16 12 08 3c         BNE $s2, 0x083c
1fc00334:   00 00 00 00         NOP
1fc00338:   3c 08 85 d9         LUI $t0, 0x85d9
